product_name,Ventas_Totales,Beneficio_Total,Margen_Beneficio
"Hon Round Labels, 5000 Label Set",149,42,28.1879
"Stanley Pens, Water Color",262,73,27.8626
Cisco 9971 IP Video Phone Charcoal,4268,1188,27.8351
"StarTech Printer, Durable",3426,949,27.6999
"Barricks Round Table, with Bottom Storage",3636,1003,27.5853
"Accos Paper Clips, Metal",113,31,27.4336
GBC DocuBind P400 Electric Binding System,17965,4900,27.2753
"Hon Round Table, Fully Assembled",1518,414,27.2727
"Lesro Wood Table, Rectangular",3867,1046,27.0494
"Fiskars Box Cutter, Serrated",1833,490,26.7321
"Wilson Jones Binder, Clear",353,94,26.6289
"GlobeWeis Mailers, Recycled",357,95,26.6106
"Tenex Chairmat w/ Average Lip, 45 x 53""""""""",2059,545,26.4692
"Lesro Training Table, Adjustable Height",3971,1049,26.4165
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2667,701,26.2842
"Xerox Message Books, Multicolor",99,26,26.2626
"Nokia Office Telephone, VoIP",1296,339,26.1574
"Motorola Signal Booster, Cordless",7648,1986,25.9676
"Breville Microwave, Silver",9107,2359,25.9032
"Smead Round Labels, 5000 Label Set",89,23,25.8427
Bevis 44 x 96 Conference Tables,2430,618,25.4321
"Breville Coffee Grinder, Silver",1241,313,25.2216
Ibico Hi-Tech Manual Binding System,4788,1189,24.8329
"KitchenAid Stove, White",7558,1875,24.8082
"Cuisinart Microwave, Black",5731,1418,24.7426
"Bevis Round Conference Table Top, X-Base",1094,269,24.5887
"Avery File Folder Labels, 5000 Label Set",139,34,24.4604
"Chromcraft Round Table, with Bottom Storage",4882,1192,24.4162
"Harbour Creations Round Labels, Alphabetical",123,30,24.3902
GBC Imprintable Covers,107,26,24.2991
"Sharp Personal Copier, Color",1368,332,24.269
GBC Wire Binding Combs,33,8,24.2424
Hon Rectangular Conference Tables,3345,796,23.7967
KI Adjustable-Height Table,2533,602,23.7663
"Kraft Manila Envelope, Set of 50",318,75,23.5849
"Advantus Clamps, Metal",51,12,23.5294
"Barricks Conference Table, Adjustable Height",5819,1364,23.4405
"Memorex Mouse, Erganomic",555,130,23.4234
GBC DocuBind TL300 Electric Binding System,18927,4395,23.2208
"Chromcraft Computer Table, Fully Assembled",1928,445,23.0809
Tenex Chairmats For Use with Hard Floors,169,39,23.0769
"OIC Paper Clips, Bulk Pack",161,37,22.9814
"Wilson Jones Binder Covers, Clear",305,70,22.9508
GBC ProClick 150 Presentation Binding System,3033,695,22.9146
"Deflect-O Light Bulb, Black",188,43,22.8723
"SanDisk Memory Card, USB",949,214,22.5501
VariCap6 Expandable Binder,71,16,22.5352
"Okidata Printer, Durable",3269,734,22.4533
"Brother Personal Copier, Color",4388,981,22.3564
"Cisco Office Telephone, VoIP",2434,542,22.2679
"Advantus Light Bulb, Black",432,96,22.2222
"Konica Card Printer, Durable",4184,929,22.2036
"Stockwell Staples, 12 Pack",374,83,22.1925
"Barricks Coffee Table, Rectangular",3139,693,22.0771
"Hamilton Beach Toaster, Silver",821,181,22.0463
"Lesro Wood Table, Fully Assembled",5557,1219,21.9363
"Hoover Stove, White",30805,6743,21.8893
"Novimex Rocking Chair, Black",4596,1006,21.8886
"Novimex Executive Leather Armchair, Red",33429,7255,21.7027
"Office Star Swivel Stool, Black",3640,789,21.6758
"Tenex Photo Frame, Durable",1155,250,21.645
"Stiletto Trimmer, High Speed",970,209,21.5464
"BIC Pens, Fluorescent",308,66,21.4286
Large Capacity Hanging Post Binders,210,45,21.4286
Dana Swing-Arm Lamps,84,18,21.4286
Avery Arch Ring Binders,987,210,21.2766
"StarTech Printer, Wireless",4841,1025,21.1733
UniKeep View Case Binders,19,4,21.0526
Binding Machine Supplies,376,79,21.0106
"Apple Signal Booster, Full Size",4618,966,20.9181
Cardinal Hold-It CD Pocket,24,5,20.8333
"SAFCO Swivel Stool, Black",5359,1109,20.6942
"Advantus Photo Frame, Black",1905,392,20.5774
"Eldon Photo Frame, Erganomic",1352,278,20.5621
"Bevis Wood Table, Adjustable Height",2608,536,20.5521
"Avery Legal Exhibit Labels, Adjustable",181,37,20.442
"Eaton Parchment Paper, Multicolor",230,47,20.4348
"Lesro Conference Table, with Bottom Storage",11063,2230,20.1573
"Boston Markers, Fluorescent",973,196,20.1439
"Smead Folders, Industrial",499,100,20.0401
"Lesro Conference Table, Fully Assembled",4295,859,20
"Belkin Numeric Keypad, USB",1117,222,19.8747
"Canon Fax Machine, Color",9351,1855,19.8375
"Deflect-O Door Stop, Black",1041,205,19.6926
"Binney & Smith Sketch Pad, Fluorescent",2484,489,19.686
"Logitech Router, Bluetooth",11083,2177,19.6427
"Bush Corner Shelving, Mobile",5431,1062,19.5544
"Wilson Jones Hole Reinforcements, Economy",41,8,19.5122
"Fellowes File Cart, Industrial",6790,1324,19.4993
"Sanford Sketch Pad, Fluorescent",2952,575,19.4783
"Ames Clasp Envelope, Security-Tint",67,13,19.403
Sauder Barrister Bookcases,755,146,19.3377
"Samsung Office Telephone, VoIP",2133,412,19.3155
Sauder Cornerstone Collection Library,322,62,19.2547
"Motorola Speaker Phone, with Caller ID",3162,606,19.1651
"Breville Toaster, Red",2204,421,19.1016
"StarTech Calculator, Wireless",744,140,18.8172
"Apple Office Telephone, VoIP",3192,600,18.797
"Jiffy Manila Envelope, with clear poly window",926,174,18.7905
"KitchenAid Stove, Red",12143,2280,18.7762
Angle-D Ring Binders,16,3,18.75
"Belkin Keyboard, Erganomic",1798,335,18.6318
"Tenex Shelving, Wire Frame",3235,597,18.4544
"Boston Pens, Easy-Erase",402,74,18.408
GBC ProClick Punch Binding System,704,128,18.1818
"Enermax Flash Drive, Erganomic",762,138,18.1102
KI Conference Tables,978,177,18.0982
"Konica Phone, Durable",1054,190,18.0266
"Motorola Office Telephone, Full Size",1989,358,17.999
"Konica Card Printer, Wireless",3801,683,17.969
"Accos Clamps, 12 Pack",263,47,17.8707
"Seth Thomas 16 Steel Case Clock""""",364,65,17.8571
"ACCOHIDE 3-Ring Binder, Blue, 1""",28,5,17.8571
"Ikea 3-Shelf Cabinet, Pine",2982,532,17.8404
"Cameo Clasp Envelope, Recycled",275,49,17.8182
"Cardinal Binder Covers, Recycled",275,49,17.8182
"Hoover Blender, Black",1329,236,17.7577
"Sauder Floating Shelf Set, Traditional",5720,1012,17.6923
Wilson Jones Suede Grain Vinyl Binders,17,3,17.6471
"Harbour Creations Rocking Chair, Set of Two",6356,1120,17.6211
Deluxe Heavy-Duty Vinyl Round Ring Binder,335,59,17.6119
"SanDisk Router, Programmable",7032,1238,17.6052
"Cardinal Binding Machine, Recycled",2280,401,17.5877
"Cameo Interoffice Envelope, Recycled",902,157,17.4058
"Apple Headset, with Caller ID",2027,351,17.3162
"Tenex Box, Industrial",695,120,17.2662
"OIC Rubber Bands, Bulk Pack",580,100,17.2414
"Epson Receipt Printer, White",2953,507,17.169
"Apple Smart Phone, with Caller ID",16754,2876,17.166
"Hoover Toaster, Red",1171,201,17.1648
O'Sullivan 2-Shelf Heavy-Duty Bookcases,597,102,17.0854
"KitchenAid Refrigerator, Black",18531,3164,17.0741
Tensor Brushed Steel Torchiere Floor Lamp,82,14,17.0732
"Panasonic Printer, Wireless",6276,1066,16.9853
"Enermax Memory Card, Erganomic",2848,482,16.9242
"Ames Mailers, Recycled",1133,191,16.8579
"Rogers Lockers, Wire Frame",10632,1791,16.8454
"Fellowes Trays, Blue",2382,401,16.8346
"Acco Hole Reinforcements, Clear",119,20,16.8067
"Stanley Sketch Pad, Easy-Erase",1569,263,16.7623
"Boston Highlighters, Fluorescent",543,91,16.7587
"SAFCO Steel Folding Chair, Set of Two",4223,704,16.6706
"Hon Coffee Table, Fully Assembled",1142,190,16.6375
"Lesro Computer Table, Fully Assembled",7224,1200,16.6113
"Hon Shipping Labels, Adjustable",211,35,16.5877
"Advantus Door Stop, Durable",680,112,16.4706
"Logitech Memory Card, Bluetooth",3199,524,16.3801
"Rogers Box, Industrial",666,109,16.3664
"Hoover Stove, Silver",9747,1594,16.3537
"Chromcraft Wood Table, Rectangular",4724,768,16.2574
"Lesro Coffee Table, Adjustable Height",1567,254,16.2093
GBC DocuBind P100 Manual Binding Machine,2456,398,16.2052
"Ikea Library with Doors, Pine",21181,3429,16.189
"Bush Library with Doors, Traditional",10283,1664,16.182
"Hamilton Beach Stove, Silver",19152,3096,16.1654
"Office Star Steel Folding Chair, Red",4671,755,16.1636
Texas Instruments TI-34 Scientific Calculator,205,33,16.0976
Fellowes PB200 Plastic Comb Binding Machine,4131,663,16.0494
"Binney & Smith Sketch Pad, Blue",3620,580,16.0221
GBC VeloBind Cover Sets,231,37,16.0173
"Motorola Signal Booster, VoIP",4480,716,15.9821
"Avery Index Tab, Economy",357,57,15.9664
"BIC Markers, Fluorescent",1422,227,15.9634
"Fiskars Scissors, High Speed",464,74,15.9483
"HP Ink, Laser",5876,935,15.9122
"Cuisinart Stove, Red",14212,2261,15.9091
"Eldon Frame, Erganomic",1692,268,15.8392
"Rubbermaid Stacking Tray, Durable",190,30,15.7895
"Fellowes Lockers, Wire Frame",11786,1858,15.7645
"Cisco Smart Phone, Cordless",35982,5667,15.7495
"Hon Round Table, with Bottom Storage",4919,774,15.7349
GBC DocuBind P50 Personal Binding Machine,1473,231,15.6823
"Cardinal Binder Covers, Clear",332,52,15.6627
"Eldon Photo Frame, Duo Pack",1809,283,15.644
"Samsung Office Telephone, with Caller ID",3096,483,15.6008
"Binney & Smith Pens, Easy-Erase",360,56,15.5556
"Chromcraft Round Table, Adjustable Height",7243,1126,15.546
"Breville Stove, White",5054,784,15.5125
"Nokia Audio Dock, Cordless",5156,798,15.4771
Poly Designer Cover & Back,260,40,15.3846
"Rogers Box, Single Width",885,136,15.3672
"Advantus Door Stop, Duo Pack",470,72,15.3191
"Sauder Classic Bookcase, Metal",22760,3483,15.3032
"Stanley Highlighters, Blue",562,86,15.3025
"Memorex Mouse, USB",759,116,15.2833
"Cuisinart Refrigerator, Silver",6508,994,15.2735
"Binney & Smith Highlighters, Easy-Erase",393,60,15.2672
"Samsung Audio Dock, with Caller ID",6134,934,15.2266
"Ibico Binder, Recycled",567,86,15.1675
"Stiletto Letter Opener, Easy Grip",1240,188,15.1613
"Eldon L"""" Workstation Diamond Chairmat""""",1003,152,15.1545
Lexmark MX611dhe Monochrome Laser Printer,16830,2550,15.1515
Vinyl Sectional Post Binders,452,68,15.0442
"Acco Binding Machine, Recycled",2261,340,15.0376
"StarTech Phone, Wireless",1241,186,14.9879
"Hoover Toaster, Silver",842,126,14.9644
"Nokia Speaker Phone, Full Size",3415,511,14.9634
"Rubbermaid Light Bulb, Black",301,45,14.9502
"Stockwell Push Pins, 12 Pack",495,74,14.9495
"Hon Conference Table, Adjustable Height",12377,1847,14.9228
"BIC Sketch Pad, Easy-Erase",2462,367,14.9066
"Belkin Keyboard, Bluetooth",1364,201,14.7361
"GBC White Gloss Covers, Plain Front",136,20,14.7059
"Cardinal Binding Machine, Economy",3281,480,14.6297
"StarTech Card Printer, Wireless",2793,408,14.6079
"Rogers Shelving, Single Width",2363,342,14.4731
"Xerox Computer Printout Paper, Premium",731,105,14.3639
"Hamilton Beach Stove, Black",15860,2275,14.3443
"Panasonic Card Printer, Durable",4854,695,14.3181
Ibico Presentation Index for Binding Systems,28,4,14.2857
"Eldon Shelving, Single Width",3088,441,14.2811
"Ibico Binder Covers, Clear",444,63,14.1892
"Deflect-O Clock, Black",2775,392,14.1261
"Tenex Photo Frame, Black",737,104,14.1113
"SanDisk Message Books, 8.5 x 11",710,100,14.0845
"Acme Box Cutter, Steel",505,71,14.0594
"Apple Speaker Phone, Full Size",3550,499,14.0563
"Barricks Conference Table, Fully Assembled",14930,2090,13.9987
"Tenex Lockers, Industrial",9995,1399,13.997
"Ibico Index Tab, Durable",86,12,13.9535
"StarTech Phone, Durable",1127,157,13.9308
"KitchenAid Coffee Grinder, Black",1007,140,13.9027
"Advantus Rubber Bands, Bulk Pack",295,41,13.8983
Avery Non-Stick Binders,72,10,13.8889
"Dania Corner Shelving, Metal",4825,668,13.8446
"Elite Box Cutter, High Speed",985,136,13.8071
"Enermax Parchment Paper, Recycled",131,18,13.7405
"Boston Pencil Sharpener, Water Color",2825,387,13.6991
"Binney & Smith Canvas, Fluorescent",1731,237,13.6915
"Belkin Memory Card, USB",4624,633,13.6894
"Novimex Steel Folding Chair, Black",4437,607,13.6804
"Eldon Box, Industrial",258,35,13.5659
"Office Star Swivel Stool, Adjustable",10416,1412,13.5561
"StarTech Printer, Red",3749,506,13.4969
"Samsung Office Telephone, Full Size",2497,337,13.4962
"Bush Library with Doors, Mobile",14686,1981,13.489
"Fiskars Scissors, Easy Grip",550,74,13.4545
"Konica Card Printer, White",3101,417,13.4473
"Rogers Folders, Blue",551,74,13.4301
"StarTech Inkjet, White",6472,867,13.3962
"Jiffy Manila Envelope, Security-Tint",321,43,13.3956
Chromcraft Rectangular Conference Tables,2677,355,13.2611
"Tenex Folders, Wire Frame",943,125,13.2556
"Motorola Speaker Phone, Full Size",4866,642,13.1936
"Okidata Calculator, Red",266,35,13.1579
"Nokia Speaker Phone, VoIP",5628,740,13.1485
"Motorola Audio Dock, VoIP",9251,1214,13.1229
"Tenex Light Bulb, Black",343,45,13.1195
Lock-Up Easel 'Spel-Binder',526,69,13.1179
"Nokia Signal Booster, with Caller ID",6781,888,13.0954
Bush Somerset Collection Bookcase,1002,131,13.0739
"Harbour Creations Steel Folding Chair, Red",2951,385,13.0464
Wilson Jones Standard D-Ring Binders,23,3,13.0435
"Acco 3-Hole Punch, Durable",2528,329,13.0142
"Smead Trays, Industrial",2183,284,13.0096
"Eldon Trays, Wire Frame",2649,341,12.8728
"Belkin Flash Drive, Erganomic",1082,139,12.8466
"Cardinal Binder Covers, Economy",413,53,12.8329
"Eldon Light Bulb, Black",359,46,12.8134
"Elite Letter Opener, High Speed",1007,128,12.711
"Smead Shelving, Single Width",1924,244,12.6819
"Avery File Folder Labels, Alphabetical",317,40,12.6183
"Kleencut Shears, Serrated",899,113,12.5695
"SanDisk Keyboard, Programmable",3705,465,12.5506
"Iceberg OfficeWorks 42 Round Tables""""",3004,377,12.5499
"SlimView Poly Binder, 3/8""",104,13,12.5
"Panasonic Receipt Printer, Durable",2904,363,12.5
"Cameo Clasp Envelope, with clear poly window",104,13,12.5
"Barricks Round Table, Adjustable Height",3232,403,12.4691
"Eldon Box, Wire Frame",265,33,12.4528
"Motorola Smart Phone, Cordless",34081,4242,12.4468
"Ames Interoffice Envelope, Set of 50",1062,132,12.4294
"Epson Receipt Printer, Wireless",2265,281,12.4062
"Sanford Pens, Fluorescent",250,31,12.4
GBC Personal VeloBind Strips,89,11,12.3596
"Sauder 3-Shelf Cabinet, Traditional",4723,583,12.3438
"Fiskars Ruler, Steel",146,18,12.3288
"Stockwell Paper Clips, Assorted Sizes",829,102,12.304
"Hewlett Personal Copier, Digital",2804,345,12.3039
Flat Face Poster Frame,374,46,12.2995
"Lesro Coffee Table, with Bottom Storage",4099,504,12.2957
GBC Prestige Therm-A-Bind Covers,415,51,12.2892
"Smead Lockers, Single Width",12754,1556,12.2001
Hon 5100 Series Wood Tables,5965,727,12.1878
"Sharp Ink, Color",2383,290,12.1695
"Jiffy Mailers, Set of 50",305,37,12.1311
"Hon Color Coded Labels, Alphabetical",331,40,12.0846
"Ibico Binder, Economy",580,70,12.069
"Ikea Corner Shelving, Traditional",2663,320,12.0165
"Advantus Photo Frame, Erganomic",1407,169,12.0114
GBC DocuBind 200 Manual Binding Machine,4210,505,11.9952
"Cuisinart Stove, Silver",14482,1725,11.9113
Ibico EPK-21 Electric Binding System,15876,1890,11.9048
"Accos Push Pins, Bulk Pack",253,30,11.8577
"Bush Stackable Bookrack, Pine",11146,1320,11.8428
"Eldon Folders, Blue",456,54,11.8421
"Memorex Numeric Keypad, USB",1278,151,11.8153
"Bush Corner Shelving, Pine",3815,447,11.7169
"Hoover Microwave, White",8130,951,11.6974
"Advantus Rubber Bands, Assorted Sizes",214,25,11.6822
"Hewlett Ink, Digital",6360,742,11.6667
"Ames Peel and Seal, Security-Tint",541,63,11.6451
"Accos Thumb Tacks, Assorted Sizes",189,22,11.6402
"Kleencut Box Cutter, High Speed",1161,135,11.6279
"Epson Phone, Durable",1890,219,11.5873
"Motorola Office Telephone, VoIP",1929,223,11.5604
"Boston Canvas, Easy-Erase",1540,178,11.5584
"BIC Highlighters, Blue",963,111,11.5265
"Hon Wood Table, Fully Assembled",3974,458,11.5249
"Eldon Image Series Desk Accessories, Burgundy",61,7,11.4754
"Avery Binder, Clear",680,78,11.4706
"Harbour Creations Swivel Stool, Adjustable",10680,1224,11.4607
"Novimex Rocking Chair, Adjustable",4096,469,11.4502
"Epson Inkjet, Wireless",13476,1542,11.4426
"Boston Sketch Pad, Water Color",2483,284,11.4378
"Advantus Staples, Assorted Sizes",70,8,11.4286
"Apple Office Telephone, Cordless",2085,238,11.4149
"Acme Letter Opener, Steel",1456,166,11.4011
"Hon Chairmat, Red",1758,200,11.3766
"Apple Speaker Phone, with Caller ID",4231,481,11.3685
"Avery Binding Machine, Clear",3019,343,11.3614
"Ibico Index Tab, Economy",283,32,11.3074
"Cardinal Binder, Economy",655,74,11.2977
"Chromcraft Round Table, Fully Assembled",3327,375,11.2714
"Motorola Audio Dock, Cordless",7037,793,11.269
"Deflect-O Frame, Erganomic",4445,500,11.2486
"Smead File Cart, Blue",9524,1071,11.2453
Tenex Antistatic Computer Chair Mats,3043,342,11.2389
BPI Conference Tables,1949,219,11.2365
"Green Bar Note Cards, 8.5 x 11",401,45,11.2219
"Deflect-O Clock, Durable",1515,170,11.2211
"Okidata Printer, White",11659,1308,11.2188
"Enermax Memo Slips, 8.5 x 11",428,48,11.215
"HP Fax Machine, Color",6182,693,11.21
"Accos Push Pins, Assorted Sizes",161,18,11.1801
"Barricks Coffee Table, Adjustable Height",4884,546,11.1794
"Jiffy Peel and Seal, Set of 50",413,46,11.138
Binder Posts,36,4,11.1111
"Sauder Library with Doors, Mobile",10887,1209,11.105
"Xerox Cards & Envelopes, Premium",1576,175,11.1041
"Harbour Creations Rocking Chair, Adjustable",6202,688,11.0932
"Boston Highlighters, Easy-Erase",695,77,11.0791
"Lesro Coffee Table, Fully Assembled",912,101,11.0746
"Samsung Smart Phone, VoIP",35926,3965,11.0366
"Cameo Interoffice Envelope, Set of 50",1034,114,11.0251
"Binney & Smith Canvas, Blue",3082,339,10.9994
"SAFCO Executive Leather Armchair, Set of Two",16859,1854,10.9971
"Office Star Executive Leather Armchair, Black",28487,3132,10.9945
"BIC Canvas, Easy-Erase",2311,254,10.9909
"Hewlett Copy Machine, Color",26908,2952,10.9707
"Eaton Cards & Envelopes, Recycled",1481,162,10.9386
"Sanford Pens, Easy-Erase",614,67,10.9121
"Hewlett Ink, Laser",5185,565,10.8968
"Cuisinart Coffee Grinder, White",542,59,10.8856
"Memorex Flash Drive, Erganomic",626,68,10.8626
"Ibico Binder Covers, Durable",415,45,10.8434
"Stanley Highlighters, Easy-Erase",332,36,10.8434
Aluminum Screw Posts,83,9,10.8434
"Hamilton Beach Blender, White",269,29,10.7807
"Green Bar Message Books, Premium",659,71,10.7739
"Elite Shears, Serrated",980,105,10.7143
"Sharp Ink, Laser",3482,373,10.7122
"Accos Paper Clips, Assorted Sizes",365,39,10.6849
"Kleencut Box Cutter, Steel",1273,136,10.6834
"Breville Refrigerator, White",14051,1501,10.6825
"Canon Personal Copier, High-Speed",5583,592,10.6036
"StarTech Phone, Red",1230,130,10.5691
"Dania Classic Bookcase, Traditional",12447,1315,10.5648
"Ikea Corner Shelving, Metal",3021,319,10.5594
"Boston Sketch Pad, Easy-Erase",2550,269,10.549
"Tenex Clock, Durable",1774,186,10.4848
"Green Bar Message Books, Recycled",706,74,10.4816
"Office Star Bag Chairs, Set of Two",3327,348,10.4599
"Smead Trays, Blue",3112,325,10.4434
"Fellowes File Cart, Single Width",9493,989,10.4182
"Acco Binding Machine, Economy",2266,236,10.4148
"Enermax Keyboard, Programmable",3092,322,10.414
"Wilson Jones Binding Machine, Clear",3031,315,10.3926
"Dania 3-Shelf Cabinet, Metal",4350,451,10.3678
"Green Bar Note Cards, Multicolor",1375,142,10.3273
"Kleencut Letter Opener, Steel",281,29,10.3203
"Stanley Pencil Sharpener, Water Color",2270,234,10.3084
"Okidata Receipt Printer, Red",3726,384,10.306
"Smead Folders, Blue",660,68,10.303
"Barricks Training Table, Adjustable Height",4214,433,10.2753
"Deflect-O Stacking Tray, Durable",594,61,10.2694
"Fellowes Folders, Blue",1267,130,10.2605
"Xerox Parchment Paper, Recycled",39,4,10.2564
"Apple Speaker Phone, Cordless",2713,278,10.247
"Motorola Speaker Phone, VoIP",4060,416,10.2463
"SAFCO Swivel Stool, Red",5920,604,10.2027
"Nokia Headset, with Caller ID",4444,453,10.1935
"Binney & Smith Canvas, Water Color",2572,262,10.1866
"SanDisk Parchment Paper, Premium",167,17,10.1796
"Kraft Interoffice Envelope, Recycled",1120,114,10.1786
"Tenex Frame, Erganomic",2781,283,10.1762
"Dania Classic Bookcase, Pine",23761,2417,10.1721
"Smead File Folder Labels, Adjustable",236,24,10.1695
"Hon Steel Folding Chair, Black",2765,281,10.1627
"Okidata Card Printer, White",6588,665,10.0941
"Cardinal 3-Hole Punch, Recycled",1566,158,10.0894
"OIC Rubber Bands, 12 Pack",258,26,10.0775
"Belkin Memory Card, Erganomic",3021,304,10.0629
"Xerox Memo Slips, Premium",318,32,10.0629
Bretford CR8500 Series Meeting Room Furniture,5974,601,10.0603
"Okidata Card Printer, Red",4134,415,10.0387
