order_id,order_date,order_priority,shipping_cost
IN-2016-JE1561058-42626,9/13/2016 0:00,Critical,286.67
ID-2015-JM1586597-42358,12/20/2015 0:00,Critical,285.61
ES-2017-AH100308-42934,7/18/2017 0:00,Critical,283.25
ES-2017-BN11470139-42841,4/16/2017 0:00,Critical,282.58
AU-2014-AG6758-41883,9/1/2014 0:00,Critical,282.09
AU-2014-AG6758-41883,9/1/2014 0:00,Critical,282.09
ES-2017-SK1999045-42953,8/6/2017 0:00,Critical,280.54
CA-2016-ER13855140-42679,11/5/2016 0:00,Critical,278.5
CA-2014-AJ10780140-41942,10/30/2014 0:00,Critical,277.66
CA-2014-AJ10780140-41942,10/30/2014 0:00,Critical,277.66
IN-2015-VT2170092-42364,12/26/2015 0:00,Critical,275.91
ES-2015-CS11950124-42013,1/9/2015 0:00,Critical,274.58
IN-2015-LW1682558-42106,4/12/2015 0:00,Critical,273.63
CA-2016-JS15880140-42412,2/12/2016 0:00,Critical,273.44
ES-2015-HZ1495045-42342,12/4/2015 0:00,Critical,266.02
IN-2016-PL1892588-42602,8/20/2016 0:00,Critical,265.14
IN-2016-CK1259592-42660,10/17/2016 0:00,Critical,260.6
IN-2016-MM1726027-42664,10/21/2016 0:00,Critical,259.57
ES-2017-ME17320139-42958,8/11/2017 0:00,Critical,259.34
ES-2014-DJ88887148-41961,11/18/2014 0:00,Critical,257.16
CG-2017-DK337533-42959,8/12/2017 0:00,Critical,255.69
CA-2016-PF19165140-42552,7/1/2016 0:00,Critical,254.77
CA-2016-CL12565140-42499,5/9/2016 0:00,Critical,254.13
ES-2015-JW1595545-42084,3/21/2015 0:00,Critical,252.9
IN-2014-BM1178527-41707,3/9/2014 0:00,Critical,248.59
ES-2014-HK1489045-41946,11/3/2014 0:00,Critical,246.09
ES-2017-CK1276045-43043,11/4/2017 0:00,Critical,242.18
AG-2014-RO97803-41695,2/25/2014 0:00,Critical,241.33
AG-2014-RO97803-41695,2/25/2014 0:00,Critical,241.33
CA-2017-KM16720140-43072,12/3/2017 0:00,Critical,240.88
CA-2014-CC12610140-41877,8/26/2014 0:00,Critical,237.41
CA-2014-CC12610140-41877,8/26/2014 0:00,Critical,237.41
ES-2017-HM14860125-43099,12/30/2017 0:00,Critical,236.49
ID-2014-PS18970118-41698,2/28/2014 0:00,Critical,236.16
ES-2017-MT1807045-42907,6/21/2017 0:00,Critical,234.96
CA-2017-BM11650140-43049,11/10/2017 0:00,Critical,232.86
IN-2015-CS1184527-42247,8/31/2015 0:00,Critical,232.17
ES-2017-DL13315139-42884,5/29/2017 0:00,Critical,230.35
ES-2016-BS1159045-42464,4/4/2016 0:00,Critical,227.85
CA-2017-SU20665140-42808,3/14/2017 0:00,Critical,227.5
ID-2014-BM1114059-41965,11/22/2014 0:00,Critical,226.73
CA-2016-WB21850140-42716,12/12/2016 0:00,Critical,226.26
IN-2016-HD1478527-42654,10/11/2016 0:00,Critical,225
CA-2017-HW14935140-42983,9/5/2017 0:00,Critical,219.28
IN-2014-VP217307-41896,9/14/2014 0:00,Critical,219.26
EZ-2017-AG27032-42980,9/2/2017 0:00,Critical,218.96
CA-2015-NC18340140-42098,4/4/2015 0:00,Critical,218.9
ES-2014-BW1120045-41815,6/25/2014 0:00,Critical,218.81
CA-2014-EK13795140-41715,3/17/2014 0:00,Critical,218.62
CA-2015-SG20080140-42308,10/31/2015 0:00,Critical,218.4
CT-2015-SC1072524-42031,1/27/2015 0:00,Critical,217.62
IN-2015-CA1226592-42357,12/19/2015 0:00,Critical,217.39
ES-2016-AB1001545-42661,10/18/2016 0:00,Critical,216.8
CA-2014-CC12220140-41915,10/3/2014 0:00,Critical,214.81
CA-2014-CC12220140-41915,10/3/2014 0:00,Critical,214.81
CA-2017-BP11185140-42975,8/28/2017 0:00,Critical,212.12
ID-2016-EB1384059-42659,10/16/2016 0:00,Critical,211.08
IN-2016-SL2015566-42534,6/13/2016 0:00,Critical,209.86
CA-2017-AS10090140-42995,9/17/2017 0:00,Critical,209.3
ES-2014-BP11185139-41982,12/9/2014 0:00,Critical,207.93
AL-2016-TT114602-42594,8/12/2016 0:00,Critical,206.56
AL-2016-TT114602-42594,8/12/2016 0:00,Critical,206.56
ID-2016-BG1103527-42512,5/22/2016 0:00,Critical,206.05
CA-2016-BG11695140-42521,5/31/2016 0:00,Critical,205.23
IN-2015-MH180257-42173,6/18/2015 0:00,Critical,204.72
IN-2014-TM2149059-41960,11/17/2014 0:00,Critical,199.05
IN-2014-LP170807-41777,5/18/2014 0:00,Critical,198.28
ES-2017-KM1672048-42758,1/23/2017 0:00,Critical,197.18
ID-2017-CS123557-43059,11/20/2017 0:00,Critical,196.55
CA-2016-JK16120140-42723,12/19/2016 0:00,Critical,195.54
CA-2016-DB13060140-42528,6/7/2016 0:00,Critical,195.49
CA-2017-RS19765140-43024,10/16/2017 0:00,Critical,195.43
CA-2014-JM16195140-41758,4/29/2014 0:00,Critical,194.34
CA-2015-DB13615140-42248,9/1/2015 0:00,Critical,193.89
CA-2017-SK19990140-43092,12/23/2017 0:00,Critical,192.33
IN-2015-JM161957-42096,4/2/2015 0:00,Critical,191.99
CA-2015-MH18025140-42210,7/25/2015 0:00,Critical,189.88
ES-2016-RS197658-42554,7/3/2016 0:00,Critical,189.33
CA-2017-AH10075140-43032,10/24/2017 0:00,Critical,188.95
ID-2016-AG1076558-42724,12/20/2016 0:00,Critical,187.63
IN-2015-AP1072092-42139,5/15/2015 0:00,Critical,185.63
ES-2017-JB1600064-42862,5/7/2017 0:00,Critical,185.28
IN-2014-TP21130144-41953,11/10/2014 0:00,Critical,184.98
ES-2016-AF1088564-42613,8/31/2016 0:00,Critical,184.11
ID-2016-AS102407-42643,9/30/2016 0:00,Critical,183.4
CA-2015-BM11650140-42286,10/9/2015 0:00,Critical,181.01
ID-2017-AC10660144-43037,10/29/2017 0:00,Critical,180.33
ES-2017-SJ202158-43000,9/22/2017 0:00,Critical,179.84
CA-2014-KF16285140-41907,9/25/2014 0:00,Critical,179.73
ES-2017-JH1582045-42987,9/9/2017 0:00,Critical,179.62
IN-2015-RD1990027-42328,11/20/2015 0:00,Critical,177.72
CA-2014-TC21295140-41992,12/19/2014 0:00,Critical,177.54
ID-2015-CL1270092-42114,4/20/2015 0:00,Critical,177.36
IN-2016-EB13750113-42604,8/22/2016 0:00,Critical,176.63
IN-2014-SF209657-41867,8/16/2014 0:00,Critical,175.98
ES-2017-KM1637548-42990,9/12/2017 0:00,Critical,175.94
ES-2016-LC1687045-42527,6/6/2016 0:00,Critical,174.89
ES-2017-RB1936045-43025,10/17/2017 0:00,Critical,174.41
ES-2014-AH1058514-41797,6/7/2014 0:00,Critical,173.24
ES-2014-BW1106548-41855,8/4/2014 0:00,Critical,172.82
ID-2016-GM1444092-42727,12/23/2016 0:00,Critical,171.98
ES-2017-MA1756048-42759,1/24/2017 0:00,Critical,169.71
IN-2016-MH17290113-42552,7/1/2016 0:00,Critical,169.69
CA-2016-MK17905140-42638,9/25/2016 0:00,Critical,169.09
ES-2017-MV17485120-43045,11/6/2017 0:00,Critical,167.78
ES-2016-EL13735139-42718,12/14/2016 0:00,Critical,167.11
CA-2014-JP15520140-41951,11/8/2014 0:00,Critical,163.91
ES-2014-TS2143064-41746,4/17/2014 0:00,Critical,163.42
ES-2017-BN1151545-43035,10/27/2017 0:00,Critical,162.72
IN-2015-BD1156088-42159,6/4/2015 0:00,Critical,162.56
ES-2016-SM2000591-42704,11/30/2016 0:00,Critical,162.41
CA-2016-CG12520140-42683,11/9/2016 0:00,Critical,161.71
ID-2017-AA1064559-43063,11/24/2017 0:00,Critical,159.38
ES-2015-JM1586545-42042,2/7/2015 0:00,Critical,158.88
CA-2017-KL16645140-42835,4/10/2017 0:00,Critical,158.68
CA-2017-RO19780140-43003,9/25/2017 0:00,Critical,157.5
IN-2015-MY1738092-42313,11/5/2015 0:00,Critical,156.66
CA-2017-CA12265140-43001,9/23/2017 0:00,Critical,155.34
CA-2014-FO14305140-41798,6/8/2014 0:00,Critical,155.24
CA-2014-ML17410140-41956,11/13/2014 0:00,Critical,155.23
IN-2016-BF1100527-42644,10/1/2016 0:00,Critical,154
IN-2015-JH1543092-42196,7/11/2015 0:00,Critical,150.94
ID-2016-KM1666059-42546,6/25/2016 0:00,Critical,150.83
ES-2014-RD19585120-41945,11/2/2014 0:00,Critical,150.48
IN-2014-FM142907-41904,9/22/2014 0:00,Critical,150.35
ID-2014-MG1768058-41949,11/6/2014 0:00,Critical,148.9
AJ-2014-TC109809-41797,6/7/2014 0:00,Critical,147.24
AJ-2014-TC109809-41797,6/7/2014 0:00,Critical,147.24
IN-2016-GM1468027-42580,7/29/2016 0:00,Critical,147.23
IN-2016-BP112307-42385,1/16/2016 0:00,Critical,147.18
CA-2014-CS12250140-41653,1/14/2014 0:00,Critical,146.29
CA-2014-CS12250140-41653,1/14/2014 0:00,Critical,146.29
CA-2014-EH14005140-41771,5/12/2014 0:00,Critical,146.04
EG-2014-IG508538-41839,7/19/2014 0:00,Critical,145.11
CM-2017-JS603022-42882,5/27/2017 0:00,Critical,143.66
ES-2016-ME1801045-42690,11/16/2016 0:00,Critical,143.23
ID-2016-CM1211558-42499,5/9/2016 0:00,Critical,143.2
CA-2017-CM12115140-43092,12/23/2017 0:00,Critical,142.96
CA-2017-PO19180140-42940,7/24/2017 0:00,Critical,142.18
CA-2015-RD19585140-42351,12/13/2015 0:00,Critical,141.27
ID-2017-JC15340102-42743,1/8/2017 0:00,Critical,140.77
IN-2016-JE1616592-42456,3/27/2016 0:00,Critical,139.79
CA-2016-AA10375140-42689,11/15/2016 0:00,Critical,139.02
IN-2016-AF10870118-42507,5/17/2016 0:00,Critical,137.5
ES-2017-HA1490564-42995,9/17/2017 0:00,Critical,136.93
IN-2015-ES1402027-42175,6/20/2015 0:00,Critical,135.18
HU-2014-ER385557-41649,1/10/2014 0:00,Critical,134.59
CA-2016-CC222023-42615,9/2/2016 0:00,Critical,133.38
ID-2014-SB201707-42001,12/28/2014 0:00,Critical,131.81
ID-2017-JG15310130-42864,5/9/2017 0:00,Critical,129.81
ES-2015-SC2002045-42229,8/13/2015 0:00,Critical,129.39
ES-2016-CW11905139-42640,9/27/2016 0:00,Critical,128.32
IN-2015-BF1127592-42363,12/25/2015 0:00,Critical,128.15
ES-2017-KW16570139-42790,2/24/2017 0:00,Critical,126.61
IN-2014-KN164507-41642,1/3/2014 0:00,Critical,125.32
ES-2017-BG1174045-43084,12/15/2017 0:00,Critical,125.29
IN-2015-NR1855027-42295,10/18/2015 0:00,Critical,125.22
ES-2014-PS18760120-41871,8/20/2014 0:00,Critical,125.15
ES-2015-LC17140120-42006,1/2/2015 0:00,Critical,124.98
CA-2015-DL13330140-42329,11/21/2015 0:00,Critical,124.78
ID-2017-NP183257-43099,12/30/2017 0:00,Critical,124.63
ES-2017-RA1994548-42980,9/2/2017 0:00,Critical,124.15
CA-2017-HP14815140-43070,12/1/2017 0:00,Critical,124.14
CA-2014-LW16825140-41788,5/29/2014 0:00,Critical,123.97
ES-2017-TH2123564-43092,12/23/2017 0:00,Critical,123.83
CA-2014-CS11860140-41760,5/1/2014 0:00,Critical,122.9
CA-2014-CS11860140-41760,5/1/2014 0:00,Critical,122.9
CA-2014-CS12250140-41970,11/27/2014 0:00,Critical,121.91
CA-2014-CS12250140-41970,11/27/2014 0:00,Critical,121.91
ID-2014-EB1387059-41930,10/18/2014 0:00,Critical,121.7
ES-2015-CS1250545-42273,9/26/2015 0:00,Critical,121.47
ES-2015-JM1586564-42229,8/13/2015 0:00,Critical,120.87
IN-2016-KN167057-42673,10/30/2016 0:00,Critical,118.72
ID-2015-JL1585092-42047,2/12/2015 0:00,Critical,117.25
IN-2015-NG1843058-42049,2/14/2015 0:00,Critical,117.24
IN-2014-GG1465027-41722,3/24/2014 0:00,Critical,114.66
ES-2016-CS1240045-42471,4/11/2016 0:00,Critical,114.52
CA-2016-ES14080140-42566,7/15/2016 0:00,Critical,114.36
ES-2014-JH1618048-41726,3/28/2014 0:00,Critical,114.36
IN-2014-AR10345144-41799,6/9/2014 0:00,Critical,113.45
ES-2016-DP1300048-42720,12/16/2016 0:00,Critical,113.42
ES-2015-NS18505139-42260,9/13/2015 0:00,Critical,112.98
CA-2017-MG17650140-42811,3/17/2017 0:00,Critical,112.65
ES-2014-HD1478548-41798,6/8/2014 0:00,Critical,112.2
ES-2016-TB2119045-42559,7/8/2016 0:00,Critical,111.82
ES-2015-MG18205120-42114,4/20/2015 0:00,Critical,111.52
IN-2016-RB195707-42515,5/25/2016 0:00,Critical,110.34
IN-2014-TH215507-41839,7/19/2014 0:00,Critical,108.82
ES-2016-DW1348048-42606,8/24/2016 0:00,Critical,107.94
ES-2017-GK14620139-42802,3/8/2017 0:00,Critical,107.61
CA-2017-ME17725140-42916,6/30/2017 0:00,Critical,106.95
CA-2016-BF11020140-42585,8/3/2016 0:00,Critical,106.89
CA-2017-JB15400140-43049,11/10/2017 0:00,Critical,106.81
ES-2016-MM1726045-42418,2/18/2016 0:00,Critical,106.53
IN-2015-JK1562527-42259,9/12/2015 0:00,Critical,106.18
CA-2015-LC16870140-42127,5/3/2015 0:00,Critical,105.11
ID-2016-LC16870118-42630,9/17/2016 0:00,Critical,104.75
EG-2015-RA928538-42218,8/2/2015 0:00,Critical,104.64
CM-2014-CL256522-41809,6/19/2014 0:00,Critical,104.28
CA-2015-KC16540140-42310,11/2/2015 0:00,Critical,104.24
IN-2016-BW111107-42633,9/20/2016 0:00,Critical,104.12
ES-2017-FG142608-43009,10/1/2017 0:00,Critical,103.9
ES-2014-TT2122045-41900,9/18/2014 0:00,Critical,103.82
ID-2017-MZ1751578-43056,11/17/2017 0:00,Critical,103.63
CA-2017-HA14905140-43031,10/23/2017 0:00,Critical,103.4
IN-2016-MG17890130-42527,6/6/2016 0:00,Critical,103.2
IN-2016-CS1217566-42535,6/14/2016 0:00,Critical,103.1
ES-2016-FC1433564-42624,9/11/2016 0:00,Critical,102.71
IN-2015-MP1817511-42192,7/7/2015 0:00,Critical,101.85
CA-2015-CM12655140-42082,3/19/2015 0:00,Critical,101.49
ES-2017-IM1507045-42965,8/18/2017 0:00,Critical,101.24
CA-2015-AG10495140-42319,11/11/2015 0:00,Critical,101.22
ES-2017-JK1564045-42949,8/2/2017 0:00,Critical,100.14
ID-2015-FO143057-42136,5/12/2015 0:00,Critical,99.73
ID-2015-KT1648059-42350,12/12/2015 0:00,Critical,99.72
ES-2014-ER13855120-41889,9/7/2014 0:00,Critical,99.32
CA-2014-JD16150140-41958,11/15/2014 0:00,Critical,99.3
ES-2016-LR16915120-42655,10/12/2016 0:00,Critical,99.15
CA-2016-NF838523-42549,6/28/2016 0:00,Critical,98.72
ID-2014-PM1913559-41819,6/29/2014 0:00,Critical,97.72
CA-2016-DB13270140-42716,12/12/2016 0:00,Critical,96.72
GH-2014-RS976549-41958,11/15/2014 0:00,Critical,96.54
GV-2014-BE141052-41736,4/7/2014 0:00,Critical,95.85
ES-2014-TW2102545-41721,3/23/2014 0:00,Critical,95.81
ES-2014-ML1804045-41854,8/3/2014 0:00,Critical,95.76
CA-2017-JD589523-43028,10/20/2017 0:00,Critical,95.49
IN-2016-HM1486027-42694,11/20/2016 0:00,Critical,94.93
CA-2014-MP17470140-41727,3/29/2014 0:00,Critical,94.8
CA-2016-TS21610140-42631,9/18/2016 0:00,Critical,94.45
EG-2016-LS694538-42397,1/28/2016 0:00,Critical,94.37
ES-2014-YC21895120-41770,5/11/2014 0:00,Critical,94.2
IN-2016-SZ200357-42611,8/29/2016 0:00,Critical,94.15
IN-2016-MS1798058-42598,8/16/2016 0:00,Critical,93.95
ES-2017-KD1627045-42752,1/17/2017 0:00,Critical,93.52
IN-2015-TZ2144527-42160,6/5/2015 0:00,Critical,93.24
ES-2015-TS21205120-42120,4/26/2015 0:00,Critical,92.22
CA-2014-LS16975140-41931,10/19/2014 0:00,Critical,90.78
CA-2015-MZ17335140-42316,11/8/2015 0:00,Critical,90.18
CA-2015-LR16915140-42338,11/30/2015 0:00,Critical,89.81
CA-2016-NR18550140-42661,10/18/2016 0:00,Critical,89.66
ES-2017-NS18640120-43060,11/21/2017 0:00,Critical,88.61
ES-2014-JF15565139-41865,8/14/2014 0:00,Critical,87.72
IN-2014-JW1595558-41964,11/21/2014 0:00,Critical,87.62
IN-2017-AH106907-42955,8/8/2017 0:00,Critical,87.48
CA-2014-KL16555140-41998,12/25/2014 0:00,Critical,87.27
ES-2017-AT1073548-42904,6/18/2017 0:00,Critical,87.17
ES-2017-KS1630014-43065,11/26/2017 0:00,Critical,87.07
ES-2017-CS1240064-43073,12/4/2017 0:00,Critical,86.58
IN-2016-JH1598559-42678,11/4/2016 0:00,Critical,86.41
ES-2017-TS2143045-42911,6/25/2017 0:00,Critical,86.31
ID-2016-MY182957-42499,5/9/2016 0:00,Critical,86.25
ES-2016-DA13450139-42576,7/25/2016 0:00,Critical,85.76
ES-2016-RS1987048-42538,6/17/2016 0:00,Critical,85.65
ES-2017-PC1874548-43079,12/10/2017 0:00,Critical,84.4
CA-2014-SC20305140-41988,12/15/2014 0:00,Critical,83.87
CA-2017-TH21235140-42895,6/9/2017 0:00,Critical,83.87
ID-2016-EK13795102-42512,5/22/2016 0:00,Critical,83.48
ID-2014-MK18160118-41943,10/31/2014 0:00,Critical,83.34
CA-2015-DB13405140-42224,8/8/2015 0:00,Critical,83.22
ID-2017-JD160607-42878,5/23/2017 0:00,Critical,82.9
CA-2016-AB10060140-42615,9/2/2016 0:00,Critical,82.67
ES-2016-PT1909045-42679,11/5/2016 0:00,Critical,82.38
IN-2014-NW1840027-41964,11/21/2014 0:00,Critical,82.31
ID-2014-SH203957-41868,8/17/2014 0:00,Critical,81.94
CA-2016-NS18640140-42716,12/12/2016 0:00,Critical,81.83
ID-2014-MD1786059-41696,2/26/2014 0:00,Critical,81.63
IN-2016-AR10540102-42452,3/23/2016 0:00,Critical,80.95
IN-2014-PG1889527-41972,11/29/2014 0:00,Critical,80.38
ES-2017-AF1087045-42899,6/13/2017 0:00,Critical,80.06
CA-2015-DJ13630140-42352,12/14/2015 0:00,Critical,79.8
CA-2016-ES14020140-42533,6/12/2016 0:00,Critical,79.71
IN-2016-ME1801021-42666,10/23/2016 0:00,Critical,79.07
ES-2017-KH1651014-43064,11/25/2017 0:00,Critical,78.84
AG-2014-BM17853-41782,5/23/2014 0:00,Critical,78.7
AG-2014-BM17853-41782,5/23/2014 0:00,Critical,78.7
CA-2017-RL19615140-42851,4/26/2017 0:00,Critical,78.44
ES-2017-LP1709545-42738,1/3/2017 0:00,Critical,78.44
ES-2017-RP1985548-42743,1/8/2017 0:00,Critical,77.7
ES-2016-JC1538548-42729,12/25/2016 0:00,Critical,77.27
CA-2015-HA14920140-42215,7/30/2015 0:00,Critical,77.11
ES-2016-CM11830120-42462,4/2/2016 0:00,Critical,76.98
CA-2014-SP20620140-42002,12/29/2014 0:00,Critical,76.76
ES-2017-RB19330139-43065,11/26/2017 0:00,Critical,76.66
ES-2015-AA1064545-42266,9/19/2015 0:00,Critical,76.63
CA-2016-CC12370140-42559,7/8/2016 0:00,Critical,75.27
IN-2014-RD19720113-41760,5/1/2014 0:00,Critical,75.19
CA-2016-MV18190140-42539,6/18/2016 0:00,Critical,74.66
ES-2014-DB1361548-41891,9/9/2014 0:00,Critical,74.08
ES-2017-PO18850139-42938,7/22/2017 0:00,Critical,73.91
IN-2015-NS185057-42161,6/6/2015 0:00,Critical,73.77
ES-2017-ME1772548-42826,4/1/2017 0:00,Critical,73.68
ES-2017-SC2068045-43079,12/10/2017 0:00,Critical,73.55
ES-2016-SC20095139-42679,11/5/2016 0:00,Critical,73.37
ES-2016-RP1985545-42560,7/9/2016 0:00,Critical,73.33
ES-2017-EH13945139-42910,6/24/2017 0:00,Critical,73.18
ES-2016-SM2095045-42373,1/4/2016 0:00,Critical,73.13
CA-2015-KA16525140-42054,2/19/2015 0:00,Critical,73.1
ES-2017-JG1580548-42966,8/19/2017 0:00,Critical,73.08
IN-2014-SS2041058-41958,11/15/2014 0:00,Critical,73
ES-2016-DE1325548-42538,6/17/2016 0:00,Critical,72.72
IN-2015-BS118007-42343,12/5/2015 0:00,Critical,72.59
CA-2015-PG18895140-42355,12/17/2015 0:00,Critical,72.45
ES-2016-PF19165139-42692,11/18/2016 0:00,Critical,72.38
ES-2017-SW20455139-43056,11/17/2017 0:00,Critical,71.56
ES-2015-CG1252045-42365,12/27/2015 0:00,Critical,71.14
AG-2017-PO88653-42748,1/13/2017 0:00,Critical,70.93
AG-2017-PO88653-42748,1/13/2017 0:00,Critical,70.93
IN-2016-RK1930027-42553,7/2/2016 0:00,Critical,70.93
IN-2016-AM103607-42595,8/13/2016 0:00,Critical,70.81
ES-2016-HL15040139-42440,3/11/2016 0:00,Critical,70.75
CA-2017-DO13645140-42994,9/16/2017 0:00,Critical,70.52
